Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target,FrequentFlyerBit,SocialMediaBit,BookedHotelBit,High_Income,Middle_Income,Low_Income,Churn_Probability,Churn_Predicted,Churn_Probability_XGB,Churn_Predicted_XGB
34,No,Middle Income,6,No,Yes,0,0,0,1,0,1,0,0.062212291,0,0.001559814,0
34,Yes,Low Income,5,Yes,No,1,1,1,0,0,0,1,0.797851653,1,0.95164555,1
37,No,Middle Income,3,Yes,No,0,0,1,0,0,1,0,0.074331272,0,0.002051127,0
30,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.060206232,0,0.000863661,0
30,No,Low Income,1,No,No,0,0,0,0,0,0,1,0.120200204,0,8.51E-05,0
27,Yes,High Income,1,No,Yes,1,1,0,1,1,0,0,0.443466613,0,0.9778391,1
34,No,Middle Income,4,Yes,Yes,0,0,1,1,0,1,0,0.067252923,0,0.000867769,0
34,No,Low Income,2,Yes,No,1,0,1,0,0,0,1,0.202475091,0,0.95839685,1
30,No,Low Income,3,No,Yes,0,0,0,1,0,0,1,0.105440171,0,0.000408503,0
36,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.365141132,0,0.6625221,1
34,No,Low Income,1,Yes,Yes,0,0,1,1,0,0,1,0.070444802,0,0.005478295,0
28,No,Middle Income,2,No,No,1,0,0,0,0,1,0,0.076888652,0,0.9878501,1
35,No,Middle Income,1,Yes,Yes,0,0,1,1,0,1,0,0.021410135,0,0.00055255,0
34,Yes,Low Income,4,No,No,0,1,0,0,0,0,1,0.556827237,1,0.028464304,0
34,No,Middle Income,5,No,No,0,0,0,0,0,1,0,0.098718742,0,0.000949332,0
37,Yes,Low Income,6,No,Yes,0,1,0,1,0,0,1,0.422359067,0,0.048449412,0
30,No,Low Income,1,Yes,Yes,0,0,1,1,0,0,1,0.113559138,0,0.001876127,0
30,Yes,High Income,1,Yes,No,0,1,1,0,1,0,0,0.735986162,1,0.38642016,0
31,No,Middle Income,1,No,Yes,0,0,0,1,0,1,0,0.01649425,0,0.000127937,0
37,No,Low Income,2,Yes,No,1,0,1,0,0,0,1,0.146210696,0,0.98256886,1
30,No,Middle Income,4,No,Yes,0,0,0,1,0,1,0,0.052374625,0,0.000106181,0
31,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.525755633,1,0.57897615,1
34,Yes,Low Income,1,Yes,No,0,1,1,0,0,0,1,0.489455746,0,0.42465845,0
30,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.060206232,0,0.000863661,0
34,No,Middle Income,1,No,Yes,0,0,0,1,0,1,0,0.011185912,0,0.000240255,0
38,Yes,Low Income,1,No,Yes,0,1,0,1,0,0,1,0.0985693,0,0.000567338,0
37,No,Middle Income,3,Yes,No,0,0,1,0,0,1,0,0.074331272,0,0.002051127,0
30,No,Middle Income,5,Yes,No,0,0,1,0,0,1,0,0.289933507,0,0.001909704,0
28,No,Low Income,1,Yes,No,0,0,1,0,0,0,1,0.281467663,0,0.02880339,0
34,Yes,High Income,1,No,No,0,1,0,0,1,0,0,0.427850681,0,0.36892495,0
33,No,Middle Income,6,No,Yes,0,0,0,1,0,1,0,0.070323902,0,0.002884244,0
34,No,Low Income,2,No,No,0,0,0,0,0,0,1,0.103238723,0,0.001912892,0
27,No,Middle Income,3,Yes,No,0,0,1,0,0,1,0,0.229786075,0,0.009857174,0
35,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.396068821,0,0.9461919,1
30,No,Low Income,4,No,No,0,0,0,0,0,0,1,0.283085512,0,0.000182988,0
36,No,Middle Income,2,No,Yes,0,0,0,1,0,1,0,0.012241962,0,0.001609703,0
34,Yes,Low Income,1,Yes,Yes,0,1,1,1,0,0,1,0.289587606,0,0.5849414,1
37,Yes,Low Income,1,Yes,No,1,1,1,0,0,0,1,0.392712908,0,0.611664,1
37,No,Middle Income,3,No,No,0,0,0,0,0,1,0,0.035133517,0,0.00085593,0
36,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.028322603,0,0.003096816,0
27,No,Low Income,5,No,Yes,0,0,0,1,0,0,1,0.261749264,0,0.029933473,0
36,Yes,High Income,4,No,No,0,1,0,0,1,0,0,0.624386605,1,0.6945232,1
28,No,Middle Income,1,Yes,Yes,0,0,1,1,0,1,0,0.051979702,0,0.002365431,0
30,No,Low Income,2,No,No,0,0,0,0,0,0,1,0.162906464,0,0.002171518,0
27,No,Middle Income,3,No,No,0,0,0,0,0,1,0,0.119164183,0,0.22575185,0
37,Yes,High Income,6,No,Yes,1,1,0,1,1,0,0,0.557077703,1,0.9271765,1
27,No,Low Income,1,Yes,No,0,0,1,0,0,0,1,0.308754917,0,0.026089275,0
38,No,Middle Income,2,Yes,No,0,0,1,0,0,1,0,0.047110312,0,0.0114355,0
30,No,Middle Income,4,No,Yes,0,0,0,1,0,1,0,0.052374625,0,0.000106181,0
34,Yes,Low Income,1,No,No,0,1,0,0,0,0,1,0.303004192,0,0.000807999,0
34,Yes,Low Income,3,No,Yes,1,1,0,1,0,0,1,0.272755848,0,0.90367764,1
31,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.053194881,0,0.000648343,0
34,No,Low Income,1,Yes,No,0,0,1,0,0,0,1,0.151270329,0,0.004571874,0
30,Yes,High Income,5,No,No,0,1,0,0,1,0,0,0.838818656,1,0.365398,0
31,No,Middle Income,1,No,Yes,0,0,0,1,0,1,0,0.01649425,0,0.000127937,0
28,No,Low Income,4,Yes,Yes,1,0,1,1,0,0,1,0.324960068,0,0.022603355,0
30,No,Middle Income,3,Yes,Yes,0,0,1,1,0,1,0,0.078821823,0,7.62E-05,0
37,Yes,High Income,1,Yes,No,1,1,1,0,1,0,0,0.526595923,1,0.9526811,1
36,No,Low Income,1,No,No,0,0,0,0,0,0,1,0.058523845,0,0.000848041,0
36,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.028322603,0,0.003096816,0
34,No,Middle Income,6,No,Yes,0,0,0,1,0,1,0,0.062212291,0,0.001559814,0
35,Yes,Low Income,1,No,No,0,1,0,0,0,0,1,0.276022232,0,0.009147385,0
30,No,Middle Income,4,Yes,No,0,0,1,0,0,1,0,0.22278964,0,0.000274009,0
29,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.068075268,0,0.002950669,0
33,Yes,Low Income,1,Yes,Yes,0,1,1,1,0,0,1,0.31731442,0,0.11253467,0
28,Yes,High Income,1,No,Yes,1,1,0,1,1,0,0,0.411358762,0,0.97850376,1
33,No,Middle Income,5,Yes,Yes,0,0,1,1,0,1,0,0.104832121,0,0.012730083,0
37,No,Low Income,2,Yes,No,1,0,1,0,0,0,1,0.146210696,0,0.98256886,1
31,No,Middle Income,3,No,No,0,0,0,0,0,1,0,0.0740997,0,7.70E-05,0
34,Yes,High Income,4,No,No,1,1,0,0,1,0,0,0.683672808,1,0.39329302,0
37,No,Low Income,1,No,Yes,0,0,0,1,0,0,1,0.022654853,0,9.79E-05,0
30,No,Low Income,2,No,No,0,0,0,0,0,0,1,0.162906464,0,0.002171518,0
30,No,Middle Income,1,Yes,Yes,0,0,1,1,0,1,0,0.040464835,0,0.000118797,0
30,Yes,Low Income,1,Yes,No,1,1,1,0,0,0,1,0.618409493,1,0.9700754,1
30,No,Middle Income,3,No,No,0,0,0,0,0,1,0,0.083623053,0,5.19E-05,0
37,No,Middle Income,6,No,Yes,0,0,0,1,0,1,0,0.042831298,0,0.09346943,0
31,No,Low Income,4,Yes,No,0,0,1,0,0,0,1,0.433004172,0,0.50542897,1
34,Yes,High Income,1,Yes,No,0,1,1,0,1,0,0,0.622511909,1,0.5629035,1
34,Yes,Low Income,1,No,Yes,0,1,0,1,0,0,1,0.156007798,0,0.002004611,0
34,No,Low Income,5,No,No,0,0,0,0,0,0,1,0.249661661,0,0.000721697,0
28,No,Middle Income,3,No,Yes,0,0,0,1,0,1,0,0.048024864,0,0.00350949,0
27,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.652058486,1,0.99583983,1
30,No,Low Income,1,Yes,No,0,0,1,0,0,0,1,0.23153105,0,0.00321977,0
37,No,Middle Income,4,No,No,0,0,0,0,0,1,0,0.049310141,0,0.001324637,0
35,No,Middle Income,1,No,Yes,0,0,0,1,0,1,0,0.009823578,0,0.000598069,0
27,Yes,Low Income,1,No,Yes,1,1,0,1,0,0,1,0.316584754,0,0.9756836,1
35,No,Middle Income,3,Yes,No,0,0,1,0,0,1,0,0.094533873,0,0.001004674,0
30,No,Middle Income,2,Yes,No,0,0,1,0,0,1,0,0.123788275,0,0.004143,0
37,No,Low Income,1,No,Yes,0,0,0,1,0,0,1,0.022654853,0,9.79E-05,0
30,Yes,High Income,1,No,No,0,1,0,0,1,0,0,0.558323372,1,0.41210014,0
29,No,Middle Income,6,No,Yes,0,0,0,1,0,1,0,0.113373268,0,0.007386676,0
30,No,Low Income,2,Yes,No,1,0,1,0,0,0,1,0.300291503,0,0.97070307,1
30,No,Low Income,5,Yes,No,0,0,1,0,0,0,1,0.553647194,1,0.17227389,0
36,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.365141132,0,0.6625221,1
37,No,Low Income,1,No,No,0,0,0,0,0,0,1,0.05169764,0,0.000429312,0
28,No,Middle Income,2,No,Yes,1,0,0,1,0,1,0,0.034204461,0,0.9674553,1
30,No,Middle Income,1,Yes,Yes,0,0,1,1,0,1,0,0.040464835,0,0.000118797,0
31,Yes,Low Income,4,Yes,No,1,1,1,0,0,0,1,0.804220487,1,0.9929669,1
31,No,Middle Income,3,No,No,0,0,0,0,0,1,0,0.0740997,0,7.70E-05,0
31,No,Low Income,2,No,No,0,0,0,0,0,0,1,0.145790461,0,0.001660897,0
30,No,Low Income,1,Yes,Yes,0,0,1,1,0,0,1,0.113559138,0,0.001876127,0
36,Yes,High Income,1,No,No,0,1,0,0,1,0,0,0.365141132,0,0.6625221,1
31,No,Middle Income,1,Yes,Yes,0,0,1,1,0,1,0,0.035665233,0,0.000234137,0
28,No,Low Income,2,No,No,1,0,0,0,0,0,1,0.201931389,0,0.97709924,1
30,No,Middle Income,4,No,Yes,0,0,0,1,0,1,0,0.052374625,0,0.000106181,0
30,Yes,High Income,6,No,Yes,1,1,0,1,1,0,0,0.759151998,1,0.97914493,1
37,Yes,Low Income,1,Yes,No,0,1,1,0,0,0,1,0.392712908,0,0.611664,1
37,No,Middle Income,2,Yes,No,0,0,1,0,0,1,0,0.053364888,0,0.012517991,0
28,No,Middle Income,1,No,Yes,0,0,0,1,0,1,0,0.024259885,0,0.009159132,0
27,Yes,Low Income,1,Yes,No,1,1,1,0,0,0,1,0.706105195,1,0.9987417,1
34,No,Middle Income,3,No,Yes,0,0,0,1,0,1,0,0.022438146,0,0.000258899,0
30,No,Middle Income,4,No,No,0,0,0,0,0,1,0,0.115032877,0,9.58E-05,0
33,No,Low Income,1,Yes,Yes,0,0,1,1,0,0,1,0.079538776,0,0.003430117,0
31,Yes,High Income,1,No,No,0,1,0,0,1,0,0,0.525755633,1,0.57897615,1
31,No,Middle Income,1,No,Yes,0,0,0,1,0,1,0,0.01649425,0,0.000127937,0
31,No,Low Income,2,No,Yes,0,0,0,1,0,0,1,0.06765948,0,0.002120114,0
30,No,Middle Income,3,Yes,No,0,0,1,0,0,1,0,0.167526607,0,0.000129901,0
34,Yes,High Income,1,Yes,No,1,1,1,0,1,0,0,0.622511909,1,0.5629035,1
